Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
KM+GI,rome,10,2,1388.172798,0.0157413,0
KM+GR,rome,10,2,1202.036759,0.0152656,0
BF+GI,san_francisco,10,2,866.2438662,15.9687883,0
BFTG,san_francisco,10,2,inf,19800,0
CH+GI,san_francisco,10,2,840.3504679,0.003725,0
GAC+GI,san_francisco,10,2,1388.172798,5.1803199,0
GAC+GR,san_francisco,10,2,828.1078272,1.6750265,0
GAC+GR+BF,san_francisco,10,2,827.4865069,1.6805229,0
GACC+GI,san_francisco,10,2,1388.172798,4.4236452,0
GACC+GR,san_francisco,10,2,828.6936136,1.452141,0
GACC+GR+BF,san_francisco,10,2,825.6580797,1.4575118,0
GAR+GI,san_francisco,10,2,833.4865069,0.6907624,0
GATG,san_francisco,10,2,832.2794001,0.6608024,0
GITG,san_francisco,10,2,878.6580797,0.0059585,0
GR+GI,san_francisco,10,2,834.3504679,2.86E-05,0
KM+BF,san_francisco,10,2,1289.243866,2.0685522,0
KM+CH,san_francisco,10,2,1314.593109,0.0146242,0
KM+GAR,san_francisco,10,2,1289.243866,0.9886989,0
KM+GI,san_francisco,10,2,1420.764681,0.0129515,0
KM+GR,san_francisco,10,2,1303.729148,0.0124404,0
BF+GI,shanghai,10,2,1323.271391,16.013096,0
BFTG,shanghai,10,2,inf,19800,0
CH+GI,shanghai,10,2,1322.02875,0.0023457,0
GAC+GI,shanghai,10,2,2118.472401,4.7087376,0
GAC+GR,shanghai,10,2,1259.993216,1.6221204,0
GAC+GR+BF,shanghai,10,2,1257.371896,1.6513573,0
GACC+GI,shanghai,10,2,2118.472401,4.5260084,0
GACC+GR,shanghai,10,2,1259.993216,1.3621116,0
GACC+GR+BF,shanghai,10,2,1257.371896,1.3975359,0
GAR+GI,shanghai,10,2,1322.235857,0.6866608,0
GATG,shanghai,10,2,1257.371896,0.8696295,0
GITG,shanghai,10,2,1259.786109,0.0034131,0
GR+GI,shanghai,10,2,1259.993216,2.77E-05,0
KM+BF,shanghai,10,2,1257.371896,0.0428324,0
KM+CH,shanghai,10,2,1259.857177,0.0130238,0
KM+GAR,shanghai,10,2,1257.371896,0.8850454,0
KM+GI,shanghai,10,2,2129.336362,0.0116874,0
KM+GR,shanghai,10,2,1259.993216,0.0113307,0
BF+GI,sydney,10,2,947.7829714,16.9694088,0
BFTG,sydney,10,2,inf,19800,0
CH+GI,sydney,10,2,959.0256121,0.0035867,0
GAC+GI,sydney,10,2,1513.711904,4.7257509,0
GAC+GR,sydney,10,2,902.8540392,2.0099546,0
GAC+GR+BF,sydney,10,2,902.2327189,2.0159977,0
GACC+GI,sydney,10,2,1516.126117,4.6359143,0
GACC+GR,sydney,10,2,902.8540392,1.4051097,0
GACC+GR+BF,sydney,10,2,902.2327189,1.4105361,0
GAR+GI,sydney,10,2,958.8185053,0.7408414,0
GATG,sydney,10,2,907.2682528,0.9790683,0
GITG,sydney,10,2,949.7829714,0.0033328,0
GR+GI,sydney,10,2,931.6469325,2.64E-05,0
KM+BF,sydney,10,2,1152.611399,0.3425204,0
KM+CH,sydney,10,2,1160.854039,0.0138479,0
KM+GAR,sydney,10,2,1152.404292,1.0710534,0
KM+GI,sydney,10,2,1526.990078,0.0115252,0
KM+GR,sydney,10,2,1155.025612,0.0111058,0
BF+GI,taipei,10,2,1083.677416,16.3423792,0
BFTG,taipei,10,2,inf,19800,0
CH+GI,taipei,10,2,1024.991124,0.0022928,0
GAC+GI,taipei,10,2,1691.1566,5.2158864,0
GAC+GR,taipei,10,2,1020.541377,1.8184013,0
GAC+GR+BF,taipei,10,2,1015.505843,1.8245049,0
GACC+GI,taipei,10,2,1692.363707,5.286834,0
GACC+GR,taipei,10,2,1033.612445,1.648868,0
GACC+GR+BF,taipei,10,2,1028.369804,1.655437,0
GAR+GI,taipei,10,2,1085.677416,0.6639524,0
GATG,taipei,10,2,1019.33427,0.7737112,0
GITG,taipei,10,2,1060.71295,0.0034722,0
GR+GI,taipei,10,2,1045.298736,3.31E-05,0
KM+BF,taipei,10,2,1042.470309,0.0166231,0
KM+CH,taipei,10,2,1047.95559,0.0129663,0
KM+GAR,taipei,10,2,1042.470309,0.9993612,0
KM+GI,taipei,10,2,1703.227668,0.0115807,0
KM+GR,taipei,10,2,1045.298736,0.011245,0
BF+GI,tokyo,10,2,946.6591258,16.8552943,0
BFTG,tokyo,10,2,inf,19800,0
CH+GI,tokyo,10,2,946.6591258,0.0033793,0
GAC+GI,tokyo,10,2,1593.380951,5.2449441,0
GAC+GR,tokyo,10,2,946.6591258,1.8480173,0
GAC+GR+BF,tokyo,10,2,946.452019,1.8532697,0
GACC+GI,tokyo,10,2,1593.380951,5.4322368,0
GACC+GR,tokyo,10,2,946.6591258,1.7611403,0
GACC+GR+BF,tokyo,10,2,946.452019,1.766418,0
GAR+GI,tokyo,10,2,974.8662325,0.8798584,0
GATG,tokyo,10,2,946.452019,0.7241496,0
GITG,tokyo,10,2,949.0733393,0.0033139,0
GR+GI,tokyo,10,2,983.0733393,2.63E-05,0
KM+BF,tokyo,10,2,1093.244912,0.0387462,0
KM+CH,tokyo,10,2,1096.866233,0.0127452,0
KM+GAR,tokyo,10,2,1093.244912,1.0159066,0
KM+GI,tokyo,10,2,1604.244912,0.0112357,0
KM+GR,tokyo,10,2,1093.244912,0.0108799,0
BF+GI,vancouver,10,2,729.6275965,15.6738639,0
BFTG,vancouver,10,2,inf,19800,0
CH+GI,vancouver,10,2,738.177849,0.003462,0
GAC+GI,vancouver,10,2,1201.071247,4.569445,0
GAC+GR,vancouver,10,2,729.6275965,1.7559938,0
GAC+GR+BF,vancouver,10,2,729.6275965,1.76145,0
GACC+GI,vancouver,10,2,1201.071247,4.4579064,0
GACC+GR,vancouver,10,2,729.6275965,1.4521217,0
GACC+GR+BF,vancouver,10,2,729.6275965,1.4575586,0
GAR+GI,vancouver,10,2,747.4560236,0.6548796,0
GATG,vancouver,10,2,734.9057711,0.7473277,0
GITG,vancouver,10,2,753.7991693,0.0039488,0
GR+GI,vancouver,10,2,752.7697321,2.58E-05,0
KM+BF,vancouver,10,2,912.5565287,0.0399843,0
KM+CH,vancouver,10,2,920.0062761,0.0131463,0
KM+GAR,vancouver,10,2,912.5565287,0.9246921,0
KM+GI,vancouver,10,2,1209.520995,0.011863,0
KM+GR,vancouver,10,2,914.9707422,0.0114658,0
BF+GI,addis_ababa,10,3,502.2551007,15.8902753,0
BFTG,addis_ababa,10,3,inf,257400,0
CH+GI,addis_ababa,10,3,485.1868299,0.0035059,0
GAC+GI,addis_ababa,10,3,771.8835254,4.5108965,0
GAC+GR,addis_ababa,10,3,440.3063639,2.580601,0
GAC+GR+BF,addis_ababa,10,3,439.1089584,2.5816531,0
GACC+GI,addis_ababa,10,3,769.7860158,4.6019318,0
GACC+GR,addis_ababa,10,3,464.0598021,1.9853688,0
GACC+GR+BF,addis_ababa,10,3,464.0598021,1.9864794,0
GAR+GI,addis_ababa,10,3,502.5600596,0.7964339,0
GATG,addis_ababa,10,3,439.1089584,0.8346454,0
GITG,addis_ababa,10,3,487.0995915,0.0090252,0
GR+GI,addis_ababa,10,3,520.708805,2.41E-05,0
KM+BF,addis_ababa,10,3,686.5491372,0.3490047,0
KM+CH,addis_ababa,10,3,694.9391327,0.017438,0
KM+GAR,addis_ababa,10,3,687.5978866,1.493047,0
KM+GI,addis_ababa,10,3,787.6148473,0.0160157,0
KM+GR,addis_ababa,10,3,689.6953854,0.0156253,0
BF+GI,amsterdam,10,3,607.5387707,15.5873351,0
BFTG,amsterdam,10,3,inf,257400,0
CH+GI,amsterdam,10,3,649.5956969,0.0038138,0
GAC+GI,amsterdam,10,3,927.0992343,4.556163,0
GAC+GR,amsterdam,10,3,549.822961,1.8393573,0
GAC+GR+BF,amsterdam,10,3,549.1037946,1.839945,0
GACC+GI,amsterdam,10,3,927.0992343,4.0653015,0
GACC+GR,amsterdam,10,3,549.822961,1.7561903,0
GACC+GR+BF,amsterdam,10,3,549.1037946,1.7568073,0
GAR+GI,amsterdam,10,3,607.5387707,0.632394,0
GATG,amsterdam,10,3,552.2016017,0.6648567,0
GITG,amsterdam,10,3,634.3231561,0.0039743,0
GR+GI,amsterdam,10,3,604.3847796,2.57E-05,0
KM+BF,amsterdam,10,3,606.8713629,0.0126567,0
KM+CH,amsterdam,10,3,610.5812113,0.0130431,0
KM+GAR,amsterdam,10,3,606.6256796,1.1180408,0
KM+GI,amsterdam,10,3,944.9280658,0.011902,0
KM+GR,amsterdam,10,3,606.8713629,0.0116171,0
BF+GI,auckland,10,3,743.7634161,15.5278473,0
BFTG,auckland,10,3,inf,257400,0
CH+GI,auckland,10,3,773.7912021,0.0035551,0
GAC+GI,auckland,10,3,1137.898947,4.2621726,0
GAC+GR,auckland,10,3,652.8840968,1.7162084,0
GAC+GR+BF,auckland,10,3,649.9472489,1.7168289,0
GACC+GI,auckland,10,3,1135.801438,4.2286632,0
GACC+GR,auckland,10,3,679.8081561,1.4405221,0
GACC+GR+BF,auckland,10,3,676.0143354,1.4412139,0
GAR+GI,auckland,10,3,767.7421889,0.6214069,0
GATG,auckland,10,3,651.6641839,0.6610819,0
GITG,auckland,10,3,729.6165015,0.0039284,0
GR+GI,auckland,10,3,783.3520751,2.49E-05,0
KM+BF,auckland,10,3,887.1383736,0.0388163,0
KM+CH,auckland,10,3,891.7459806,0.0129253,0
KM+GAR,auckland,10,3,886.6426264,1.0133393,0
KM+GI,auckland,10,3,1173.55661,0.0115416,0
KM+GR,auckland,10,3,892.2401427,0.0112017,0
BF+GI,barcelona,10,3,895.6550857,17.5648578,0
BFTG,barcelona,10,3,inf,257400,0
CH+GI,barcelona,10,3,897.796423,0.0035661,0
GAC+GI,barcelona,10,3,1384.356323,5.5787529,0
GAC+GR,barcelona,10,3,788.0693476,2.5824271,0
GAC+GR+BF,barcelona,10,3,786.4459911,2.5837839,0
GACC+GI,barcelona,10,3,1384.356323,5.4884426,0
GACC+GR,barcelona,10,3,794.0969699,2.1247755,0
GACC+GR+BF,barcelona,10,3,789.4781677,2.1255682,0
GAR+GI,barcelona,10,3,919.0889523,0.9193033,0
GATG,barcelona,10,3,790.9115446,0.8150637,0
GITG,barcelona,10,3,915.551699,0.0040511,0
GR+GI,barcelona,10,3,917.124038,2.70E-05,0
KM+BF,barcelona,10,3,983.1762367,0.0158782,0
KM+CH,barcelona,10,3,986.110716,0.0131671,0
KM+GAR,barcelona,10,3,983.1762367,1.3952064,0
KM+GI,barcelona,10,3,1400.087645,0.0118449,0
KM+GR,barcelona,10,3,994.7341921,0.0115339,0
BF+GI,berlin,10,3,770.5036831,16.5391476,0
BFTG,berlin,10,3,inf,257400,0
CH+GI,berlin,10,3,761.1161651,0.0036341,0
GAC+GI,berlin,10,3,1150.484005,4.3232519,0
GAC+GR,berlin,10,3,661.5932844,1.8578027,0
GAC+GR+BF,berlin,10,3,657.8187989,1.8588775,0
GACC+GI,berlin,10,3,1152.581514,4.254964,0
GACC+GR,berlin,10,3,659.8316281,1.4718113,0
GACC+GR+BF,berlin,10,3,656.7669001,1.4724352,0
GAR+GI,berlin,10,3,771.0093588,0.6440601,0
GATG,berlin,10,3,656.7669001,0.6654578,0
GITG,berlin,10,3,729.9404198,0.0039972,0
GR+GI,berlin,10,3,742.9114819,2.57E-05,0
KM+BF,berlin,10,3,780.0529462,0.0125164,0
KM+CH,berlin,10,3,781.622364,0.0131414,0
KM+GAR,berlin,10,3,779.8903132,1.1401406,0
KM+GI,berlin,10,3,1153.630269,0.0117822,0
KM+GR,berlin,10,3,782.9919345,0.0114823,0
BF+GI,birmingham,10,3,928.5415694,16.2580373,0
BFTG,birmingham,10,3,inf,257400,0
CH+GI,birmingham,10,3,951.6257254,0.0033895,0
GAC+GI,birmingham,10,3,1380.161304,4.0905211,0
GAC+GR,birmingham,10,3,791.3314937,1.7604451,0
GAC+GR+BF,birmingham,10,3,791.3314937,1.7615049,0
GACC+GI,birmingham,10,3,1378.063794,3.9264863,0
GACC+GR,birmingham,10,3,803.494407,1.4221144,0
GACC+GR+BF,birmingham,10,3,803.494407,1.4227352,0
GAR+GI,birmingham,10,3,945.8462853,0.6488721,0
GATG,birmingham,10,3,795.3104468,0.6708258,0
GITG,birmingham,10,3,935.4170476,0.0039125,0
GR+GI,birmingham,10,3,938.6525818,2.50E-05,0
KM+BF,birmingham,10,3,945.8950535,0.0165897,0
KM+CH,birmingham,10,3,953.5120825,0.0140881,0
KM+GAR,birmingham,10,3,945.8950535,1.068403,0
KM+GI,birmingham,10,3,1387.502587,0.0124864,0
KM+GR,birmingham,10,3,947.9299759,0.0120956,0
BF+GI,buenos_aires,10,3,901.0269974,15.5851442,0
BFTG,buenos_aires,10,3,inf,257400,0
CH+GI,buenos_aires,10,3,900.1786855,0.0035073,0
GAC+GI,buenos_aires,10,3,1362.332472,4.2061199,0
GAC+GR,buenos_aires,10,3,765.6589755,1.7243176,0
GAC+GR+BF,buenos_aires,10,3,763.5165689,1.7249256,0
GACC+GI,buenos_aires,10,3,1364.429982,4.4976758,0
GACC+GR,buenos_aires,10,3,784.9570303,1.4787732,0
GACC+GR+BF,buenos_aires,10,3,783.2759079,1.479401,0
GAR+GI,buenos_aires,10,3,833.1633423,0.6371546,0
GATG,buenos_aires,10,3,763.7284604,0.6594272,0
GITG,buenos_aires,10,3,883.9607974,0.0053822,0
GR+GI,buenos_aires,10,3,846.1843084,2.53E-05,0
KM+BF,buenos_aires,10,3,970.6522396,0.0132519,0
KM+CH,buenos_aires,10,3,978.1022877,0.0132089,0
KM+GAR,buenos_aires,10,3,970.6522396,1.0378342,0
KM+GI,buenos_aires,10,3,1375.966284,0.0119022,0
KM+GR,buenos_aires,10,3,970.6522396,0.0116088,0
BF+GI,dublin,10,3,684.5393724,16.0822432,0
BFTG,dublin,10,3,inf,257400,0
CH+GI,dublin,10,3,699.8385719,0.0021918,0
GAC+GI,dublin,10,3,1026.730939,4.4871773,0
GAC+GR,dublin,10,3,595.5614201,1.8211158,0
GAC+GR+BF,dublin,10,3,594.9653183,1.8221979,0
GACC+GI,dublin,10,3,1028.828449,4.6936378,0
GACC+GR,dublin,10,3,622.4982558,1.7564534,0
GACC+GR+BF,dublin,10,3,621.1792869,1.75737,0
GAR+GI,dublin,10,3,681.0247969,0.617963,0
GATG,dublin,10,3,594.6445069,0.7127153,0
GITG,dublin,10,3,691.877712,0.0040598,0
GR+GI,dublin,10,3,691.9428656,2.47E-05,0
KM+BF,dublin,10,3,739.1099783,0.0126654,0
KM+CH,dublin,10,3,752.7245165,0.0125992,0
KM+GAR,dublin,10,3,739.1099783,1.1091752,0
KM+GI,dublin,10,3,1036.169733,0.0112026,0
KM+GR,dublin,10,3,745.345066,0.0108911,0
BF+GI,johannesburg,10,3,902.8526237,15.7312818,0
BFTG,johannesburg,10,3,inf,257400,0
CH+GI,johannesburg,10,3,950.5802537,0.0033159,0
GAC+GI,johannesburg,10,3,1417.916476,4.4024063,0
GAC+GR,johannesburg,10,3,803.8760295,1.7078771,0
GAC+GR+BF,johannesburg,10,3,803.6578048,1.7084644,0
GACC+GI,johannesburg,10,3,1420.013986,3.9673529,0
GACC+GR,johannesburg,10,3,825.6877371,1.6745081,0
GACC+GR+BF,johannesburg,10,3,823.680723,1.6751262,0
GAR+GI,johannesburg,10,3,904.9567268,0.6171952,0
GATG,johannesburg,10,3,810.8545223,0.6875399,0
GITG,johannesburg,10,3,903.9081924,0.004373,0
GR+GI,johannesburg,10,3,902.8526237,2.36E-05,0
KM+BF,johannesburg,10,3,1032.176416,0.0195774,0
KM+CH,johannesburg,10,3,1043.357202,0.0173632,0
KM+GAR,johannesburg,10,3,1032.176416,1.0100197,0
KM+GI,johannesburg,10,3,1436.794062,0.0152622,0
KM+GR,johannesburg,10,3,1033.329265,0.014957,0
BF+GI,lagos,10,3,700.8408801,19.3984763,0
BFTG,lagos,10,3,inf,257400,0
CH+GI,lagos,10,3,715.5023722,0.0034105,0
GAC+GI,lagos,10,3,1067.632376,5.8195749,0
GAC+GR,lagos,10,3,611.8693957,1.9651292,0
GAC+GR+BF,lagos,10,3,610.4995843,1.9657891,0
GACC+GI,lagos,10,3,1074.97366,5.5209488,0
GACC+GR,lagos,10,3,624.602559,1.865192,0
GACC+GR+BF,lagos,10,3,622.2048815,1.866075,0
GAR+GI,lagos,10,3,702.9343879,0.7159826,0
GATG,lagos,10,3,629.73289,0.8075641,0
GITG,lagos,10,3,703.9811692,0.0038472,0
GR+GI,lagos,10,3,702.5006921,2.52E-05,0
KM+BF,lagos,10,3,709.800514,0.0118842,0
KM+CH,lagos,10,3,712.9020658,0.0122622,0
KM+GAR,lagos,10,3,709.800514,1.3139535,0
KM+GI,lagos,10,3,1088.607472,0.0115251,0
KM+GR,lagos,10,3,712.3549685,0.0108376,0
BF+GI,london,10,3,1104.357372,19.2410274,0
BFTG,london,10,3,inf,257400,0
CH+GI,london,10,3,1104.357372,0.004248,0
GAC+GI,london,10,3,1468.256706,6.9554607,0
GAC+GR,london,10,3,1005.103989,2.5634504,0
GAC+GR+BF,london,10,3,992.2424433,2.5647616,0
GACC+GI,london,10,3,1466.159196,6.1419201,0
GACC+GR,london,10,3,1029.180376,1.8645388,0
GACC+GR+BF,london,10,3,1006.813248,1.8681092,0
GAR+GI,london,10,3,1104.357372,1.1153973,0
GATG,london,10,3,1014.485407,0.9259567,0
GITG,london,10,3,1159.80893,0.0048952,0
GR+GI,london,10,3,1045.650997,3.06E-05,0
KM+BF,london,10,3,1006.813248,0.0164086,0
KM+CH,london,10,3,1025.130908,0.0161181,0
KM+GAR,london,10,3,1006.813248,1.4415614,0
KM+GI,london,10,3,1736.737932,0.0146472,0
KM+GR,london,10,3,1029.180376,0.014286,0
BF+GI,medina,10,3,658.4142286,17.2195703,0
BFTG,medina,10,3,inf,257400,0
CH+GI,medina,10,3,677.7058894,0.004352,0
GAC+GI,medina,10,3,1001.560824,5.5846273,0
GAC+GR,medina,10,3,572.3932631,2.5140877,0
GAC+GR+BF,medina,10,3,571.4708207,2.5148495,0
GACC+GI,medina,10,3,1026.730939,6.0811252,0
GACC+GR,medina,10,3,627.5763463,1.8498919,0
GACC+GR+BF,medina,10,3,627.5763463,1.8512274,0
GAR+GI,medina,10,3,659.4466944,0.9307218,0
GATG,medina,10,3,582.3972674,0.9012715,0
GITG,medina,10,3,658.4142286,0.0048771,0
GR+GI,medina,10,3,683.5748633,3.15E-05,0
KM+BF,medina,10,3,761.6694313,0.019947,0
KM+CH,medina,10,3,766.7309761,0.0160842,0
KM+GAR,medina,10,3,761.6694313,1.3820617,0
KM+GI,medina,10,3,1045.608526,0.0130764,0
KM+GR,medina,10,3,767.2477236,0.0126733,0
BF+GI,mumbai,10,3,829.759891,17.5793336,0
BFTG,mumbai,10,3,inf,257400,0
CH+GI,mumbai,10,3,902.0445184,0.0039176,0
GAC+GI,mumbai,10,3,1238.579407,7.4798429,0
GAC+GR,mumbai,10,3,751.5350778,2.807649,0
GAC+GR+BF,mumbai,10,3,751.2029801,2.8084455,0
GACC+GI,mumbai,10,3,1238.579407,6.2398942,0
GACC+GR,mumbai,10,3,790.9299538,2.8673525,0
GACC+GR+BF,mumbai,10,3,790.0675236,2.8686899,0
GAR+GI,mumbai,10,3,841.7336648,0.7741434,0
GATG,mumbai,10,3,765.7886077,1.2781342,0
GITG,mumbai,10,3,860.469457,0.0051054,0
GR+GI,mumbai,10,3,855.4374014,3.20E-05,0
KM+BF,mumbai,10,3,973.9755353,0.018609,0
KM+CH,mumbai,10,3,974.4291929,0.0152875,0
KM+GAR,mumbai,10,3,973.9755353,1.8744355,0
KM+GI,mumbai,10,3,1261.652012,0.0134592,0
KM+GR,mumbai,10,3,974.8836622,0.0130775,0
BF+GI,nairobi,10,3,623.7667206,16.51832,0
BFTG,nairobi,10,3,inf,257400,0
CH+GI,nairobi,10,3,652.9549446,0.0048486,0
GAC+GI,nairobi,10,3,976.3907095,5.5727367,0
GAC+GR,nairobi,10,3,579.8081534,2.5322761,0
GAC+GR+BF,nairobi,10,3,578.5731272,2.5330329,0
GACC+GI,nairobi,10,3,975.3419547,5.0681519,0
GACC+GR,nairobi,10,3,598.0970541,2.0330364,0
GACC+GR+BF,nairobi,10,3,594.2959112,2.0339112,0
GAR+GI,nairobi,10,3,614.4314537,0.9141649,0
GATG,nairobi,10,3,594.2959112,0.9002849,0
GITG,nairobi,10,3,642.2208629,0.0067905,0
GR+GI,nairobi,10,3,639.6419719,3.13E-05,0
KM+BF,nairobi,10,3,699.578921,0.0207944,0
KM+CH,nairobi,10,3,700.5017074,0.0173041,0
KM+GAR,nairobi,10,3,699.578921,1.4347099,0
KM+GI,nairobi,10,3,995.2682957,0.0155915,0
KM+GR,nairobi,10,3,704.395674,0.015233,0
BF+GI,new_york,10,3,958.2501476,18.9607099,0
BFTG,new_york,10,3,inf,257400,0
CH+GI,new_york,10,3,958.5010854,0.0042625,0
GAC+GI,new_york,10,3,1433.647798,5.7728357,0
GAC+GR,new_york,10,3,821.4202789,2.4381394,0
GAC+GR+BF,new_york,10,3,820.1601361,2.4389828,0
GACC+GI,new_york,10,3,1433.647798,5.3236752,0
GACC+GR,new_york,10,3,863.8853359,1.9639502,0
GACC+GR+BF,new_york,10,3,862.8566679,1.96654,0
GAR+GI,new_york,10,3,866.2878548,0.8230981,0
GATG,new_york,10,3,837.1739093,0.9825982,0
GITG,new_york,10,3,971.5144153,0.0050336,0
GR+GI,new_york,10,3,985.7794661,3.16E-05,0
KM+BF,new_york,10,3,947.9145858,0.014613,0
KM+CH,new_york,10,3,955.5924895,0.0144139,0
KM+GAR,new_york,10,3,947.9145858,1.4603322,0
KM+GI,new_york,10,3,1442.037836,0.0128923,0
KM+GR,new_york,10,3,948.6460871,0.0125245,0
BF+GI,paris,10,3,909.7625808,16.6146819,0
BFTG,paris,10,3,inf,257400,0
CH+GI,paris,10,3,912.4903349,0.0034339,0
GAC+GI,paris,10,3,1350.796169,4.9670481,0
GAC+GR,paris,10,3,779.6776077,2.359642,0
GAC+GR+BF,paris,10,3,777.1837422,2.3604957,0
GACC+GI,paris,10,3,1346.60115,4.501051,0
GACC+GR,paris,10,3,785.3267559,1.8343054,0
GACC+GR+BF,paris,10,3,778.5284787,1.8350784,0
GAR+GI,paris,10,3,903.7426481,0.7501768,0
GATG,paris,10,3,774.9808319,0.9510878,0
GITG,paris,10,3,875.6246445,0.0062846,0
GR+GI,paris,10,3,896.73307,3.08E-05,0
KM+BF,paris,10,3,869.3345078,0.0159315,0
KM+CH,paris,10,3,872.8053503,0.0164783,0
KM+GAR,paris,10,3,869.3345078,1.4788009,0
KM+GI,paris,10,3,1354.991189,0.0150055,0
KM+GR,paris,10,3,872.8053503,0.0146938,0
BF+GI,rio_de_janeiro,10,3,657.5004424,19.102051,0
BFTG,rio_de_janeiro,10,3,inf,257400,0
CH+GI,rio_de_janeiro,10,3,577.1941143,0.0042369,0
GAC+GI,rio_de_janeiro,10,3,943.879311,7.3970059,0
GAC+GR,rio_de_janeiro,10,3,543.8253344,2.4953864,0
GAC+GR+BF,rio_de_janeiro,10,3,542.8255598,2.4967543,0
GACC+GI,rio_de_janeiro,10,3,943.879311,6.5023388,0
GACC+GR,rio_de_janeiro,10,3,569.2656158,2.558216,0
GACC+GR+BF,rio_de_janeiro,10,3,568.2513482,2.5639738,0
GAR+GI,rio_de_janeiro,10,3,562.0886163,0.8864203,0
GATG,rio_de_janeiro,10,3,545.066642,0.95987,0
GITG,rio_de_janeiro,10,3,613.3163762,0.0048742,0
GR+GI,rio_de_janeiro,10,3,614.3563755,5.79E-05,0
KM+BF,rio_de_janeiro,10,3,628.9802959,0.0155598,0
KM+CH,rio_de_janeiro,10,3,628.9802959,0.0160407,0
KM+GAR,rio_de_janeiro,10,3,628.9802959,1.5326648,0
KM+GI,rio_de_janeiro,10,3,951.2205945,0.0146568,0
KM+GR,rio_de_janeiro,10,3,628.9802959,0.0143303,0
BF+GI,riyadh,10,3,807.3393479,18.3702787,0
BFTG,riyadh,10,3,inf,257400,0
CH+GI,riyadh,10,3,807.3393479,0.0550925,0
GAC+GI,riyadh,10,3,1284.724618,6.6286524,0
GAC+GR,riyadh,10,3,733.7798145,2.8401388,0
GAC+GR+BF,riyadh,10,3,728.131208,2.8539051,0
GACC+GI,riyadh,10,3,1285.773373,6.8716185,0
GACC+GR,riyadh,10,3,753.1188373,2.6495537,0
GACC+GR+BF,riyadh,10,3,747.1082219,2.6511382,0
GAR+GI,riyadh,10,3,861.4549086,1.2835996,0
GATG,riyadh,10,3,745.4152156,0.9980766,0
GITG,riyadh,10,3,861.231115,0.0047729,0
GR+GI,riyadh,10,3,894.4866196,3.31E-05,0
KM+BF,riyadh,10,3,860.4108244,0.0421201,0
KM+CH,riyadh,10,3,864.8030027,0.0426409,0
KM+GAR,riyadh,10,3,860.4108244,1.9524557,0
KM+GI,riyadh,10,3,1305.699714,0.0411993,0
KM+GR,riyadh,10,3,861.7421606,0.0408596,0
BF+GI,rome,10,3,803.7982181,17.8883614,0
BFTG,rome,10,3,inf,257400,0
CH+GI,rome,10,3,825.7995187,0.0029692,0
GAC+GI,rome,10,3,1215.506802,5.0613343,0
GAC+GR,rome,10,3,702.6833187,2.3545527,0
GAC+GR+BF,rome,10,3,702.6833187,2.3558863,0
GACC+GI,rome,10,3,1212.360537,4.6826031,0
GACC+GR,rome,10,3,703.9475899,1.8925034,0
GACC+GR+BF,rome,10,3,703.9475899,1.8938705,0
GAR+GI,rome,10,3,781.0338171,0.8225571,0
GATG,rome,10,3,704.1972411,0.8602188,0
GITG,rome,10,3,810.7340562,0.0050821,0
GR+GI,rome,10,3,803.7982181,2.83E-05,0
KM+BF,rome,10,3,839.9927645,0.0160858,0
KM+CH,rome,10,3,848.3614624,0.0166296,0
KM+GAR,rome,10,3,839.6543036,1.5265005,0
KM+GI,rome,10,3,1225.994349,0.0152016,0
KM+GR,rome,10,3,841.753169,0.0148384,0
BF+GI,san_francisco,10,3,619.3951267,18.1939951,0
BFTG,san_francisco,10,3,inf,257400,0
CH+GI,san_francisco,10,3,603.966638,0.0030336,0
GAC+GI,san_francisco,10,3,913.4654221,6.5985425,0
GAC+GR,san_francisco,10,3,528.0290085,2.9374639,0
GAC+GR+BF,san_francisco,10,3,526.2996662,2.9388145,0
GACC+GI,san_francisco,10,3,913.4654221,6.4270661,0
GACC+GR,san_francisco,10,3,541.5737895,2.5708714,0
GACC+GR+BF,san_francisco,10,3,539.4768934,2.5722319,0
GAR+GI,san_francisco,10,3,587.568197,0.8102602,0
GATG,san_francisco,10,3,526.6244298,1.09798,0
GITG,san_francisco,10,3,620.1381402,0.0061333,0
GR+GI,san_francisco,10,3,576.3231164,3.14E-05,0
KM+BF,san_francisco,10,3,699.0036187,0.0260346,0
KM+CH,san_francisco,10,3,700.7476273,0.022003,0
KM+GAR,san_francisco,10,3,698.6504557,1.8151116,0
KM+GI,san_francisco,10,3,930.2454987,0.0189052,0
KM+GR,san_francisco,10,3,703.1978466,0.0184749,0
BF+GI,shanghai,10,3,953.2129196,17.4572444,0
BFTG,shanghai,10,3,inf,257400,0
CH+GI,shanghai,10,3,962.509387,0.0027697,0
GAC+GI,shanghai,10,3,1412.672702,6.2937267,0
GAC+GR,shanghai,10,3,817.6238744,2.9883519,0
GAC+GR+BF,shanghai,10,3,815.614796,2.9896857,0
GACC+GI,shanghai,10,3,1420.013986,5.9237461,0
GACC+GR,shanghai,10,3,836.3995269,3.082687,0
GACC+GR+BF,shanghai,10,3,836.142276,3.0840252,0
GAR+GI,shanghai,10,3,984.3764414,0.8845507,0
GATG,shanghai,10,3,817.7047519,1.0194331,0
GITG,shanghai,10,3,955.1938535,0.0053096,0
