Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
GAC+GR,birmingham,5,2,365.5533906,2.2399764,0
GAC+GR+BF,birmingham,5,2,365.5533906,2.2399594,0
GACC+GI,birmingham,5,2,576.9970414,2.8161218,0
GACC+GR,birmingham,5,2,365.5533906,1.6849242,0
GACC+GR+BF,birmingham,5,2,365.5533906,1.6849253,0
GAR+GI,birmingham,5,2,365.5533906,0.5842315,0
GATG,birmingham,5,2,364.3462838,1.1336024,0
GITG,birmingham,5,2,365.5533906,0.0010291,0
GR+GI,birmingham,5,2,365.5533906,2.04E-05,0
KM+BF,birmingham,5,2,365.5533906,0.0119493,0
KM+CH,birmingham,5,2,364.3462838,0.0126119,0
KM+GAR,birmingham,5,2,364.3462838,1.6951621,0
KM+GI,birmingham,5,2,583.0325753,0.0120753,0
KM+GR,birmingham,5,2,365.5533906,0.0119859,0
BF+GI,buenos_aires,5,2,387.2457787,0.0018111,0
BFTG,buenos_aires,5,2,372.8670991,0.0033316,0
CH+GI,buenos_aires,5,2,392.0742059,0.0007005,0
GAC+GI,buenos_aires,5,2,605.9676042,2.6974974,0
GAC+GR,buenos_aires,5,2,372.8670991,1.8050732,0
GAC+GR+BF,buenos_aires,5,2,372.8670991,1.805064,0
GACC+GI,buenos_aires,5,2,605.9676042,2.3722302,0
GACC+GR,buenos_aires,5,2,387.2457787,1.3844273,0
GACC+GR+BF,buenos_aires,5,2,387.2457787,1.3844269,0
GAR+GI,buenos_aires,5,2,387.2457787,0.4899951,0
GATG,buenos_aires,5,2,372.8670991,0.5505761,0
GITG,buenos_aires,5,2,387.2457787,0.0011516,0
GR+GI,buenos_aires,5,2,387.2457787,2.17E-05,0
KM+BF,buenos_aires,5,2,481.2457787,0.0115731,0
KM+CH,buenos_aires,5,2,483.6599923,0.0121688,0
KM+GAR,buenos_aires,5,2,481.2457787,0.8298483,0
KM+GI,buenos_aires,5,2,608.3818177,0.0114776,0
KM+GR,buenos_aires,5,2,482.4528855,0.0113764,0
BF+GI,dublin,5,2,398.9087297,0.0010093,0
BFTG,dublin,5,2,398.9087297,0.0044503,0
CH+GI,dublin,5,2,399.1158364,0.0008227,0
GAC+GI,dublin,5,2,647.0092347,2.6386317,0
GAC+GR,dublin,5,2,409.3584771,1.5817889,0
GAC+GR+BF,dublin,5,2,409.3584771,1.5819904,0
GACC+GI,dublin,5,2,647.0092347,2.4056094,0
GACC+GR,dublin,5,2,409.3584771,1.6176132,0
GACC+GR+BF,dublin,5,2,409.3584771,1.6176083,0
GAR+GI,dublin,5,2,432.1158364,0.6227015,0
GATG,dublin,5,2,398.9087297,0.5465453,0
GITG,dublin,5,2,398.9087297,0.0010846,0
GR+GI,dublin,5,2,409.7726907,2.51E-05,0
KM+BF,dublin,5,2,551.9087297,0.0106853,0
KM+CH,dublin,5,2,551.9087297,0.0112389,0
KM+GAR,dublin,5,2,551.9087297,0.6608978,0
KM+GI,dublin,5,2,648.2163415,0.0106054,0
KM+GR,dublin,5,2,561.5655839,0.010494,0
BF+GI,johannesburg,5,2,431.0569619,0.0010425,0
BFTG,johannesburg,5,2,431.0569619,0.004773,0
CH+GI,johannesburg,5,2,431.0569619,0.0009231,0
GAC+GI,johannesburg,5,2,680.8082246,3.0272074,0
GAC+GR,johannesburg,5,2,432.2640687,1.5994281,0
GAC+GR+BF,johannesburg,5,2,432.2640687,1.5994112,0
GACC+GI,johannesburg,5,2,680.8082246,2.4876833,0
GACC+GR,johannesburg,5,2,432.2640687,1.344264,0
GACC+GR+BF,johannesburg,5,2,432.2640687,1.3442536,0
GAR+GI,johannesburg,5,2,431.0569619,0.5540714,0
GATG,johannesburg,5,2,431.0569619,0.4279565,0
GITG,johannesburg,5,2,431.0569619,0.0011332,0
GR+GI,johannesburg,5,2,510.8853891,0.000121,0
KM+BF,johannesburg,5,2,507.4711755,0.0124241,0
KM+CH,johannesburg,5,2,520.7493501,0.0130074,0
KM+GAR,johannesburg,5,2,507.4711755,0.5930687,0
KM+GI,johannesburg,5,2,700.1219331,0.0123795,0
KM+GR,johannesburg,5,2,508.6782823,0.0122477,0
BF+GI,lagos,5,2,356.7604974,0.0009762,0
BFTG,lagos,5,2,356.7604974,0.0032279,0
CH+GI,lagos,5,2,364.0031381,0.0007082,0
GAC+GI,lagos,5,2,580.6183618,2.6423741,0
GAC+GR,lagos,5,2,364.0031381,1.928612,0
GAC+GR+BF,lagos,5,2,364.0031381,1.9285877,0
GACC+GI,lagos,5,2,580.6183618,2.4052767,0
